"title","status","tipo","prioridade","especialidade","epicoId","responsavelId","who","what","for","acceptanceCriteria","technicalTasks"
"RF001 - Cadastro de Candidatos","Backlog","User Story","","","","","Administrativo","cadastrar pessoas com deficiência na lista de espera","organizar e gerenciar a lista de espera","Nome completo da pessoa com deficiência | Nome completo do responsável | Tipo de deficiência (sensorial, física, TEA, intelectual, múltipla, T21) | Laudo médico (upload de arquivo) | Comprovante de residência em São Luís (upload de arquivo) | Telefone de contato | Origem do encaminhamento (CRAS, CREAS, Judiciário, Saúde, Educação, Demanda espontânea) | Data de cadastro",""
"RF002 - Controle de Posição na Lista","Backlog","User Story","","","","","Administrativo","manter ordem cronológica de cadastro e permitir visualização da posição na fila","controlar a lista de espera","Sistema mantém ordem cronológica de cadastro | Sistema permite visualizar a posição atual na fila para cada candidato",""
"RF003 - Gestão de Vagas Disponíveis","Backlog","User Story","","","","","Administrativo","controlar o número de vagas disponíveis e notificar quando houver abertura","gerenciar a alocação de vagas","Sistema controla o número de vagas disponíveis | Sistema notifica os responsáveis quando uma vaga é aberta",""
"RF004 - Agendamento de Visita Domiciliar","Backlog","User Story","","","","","Equipe Técnica","agendar visitas domiciliares para avaliação de perfil","realizar avaliações dos candidatos","Data e hora da visita | Profissionais responsáveis (Assistente Social, Psicóloga, Terapeuta Ocupacional) | Status da visita (agendada, realizada, cancelada)",""
"RF005 - Registro de Escuta Ativa e Qualificada","Backlog","User Story","","","","","Equipe Técnica","registrar informações coletadas durante a escuta","documentar as necessidades e potencialidades dos candidatos","Dinâmica familiar | Necessidades imediatas | Habilidades identificadas | Potencialidades | Data da escuta | Profissional responsável",""
"RF006 - Gestão do PIA","Backlog","User Story","","","","","Equipe Técnica","criar, editar e gerenciar PIAs","elaborar planos de atendimento individual e familiar","Criar novo PIA | Editar PIA existente | Apresentar PIA para família | Apresentar PIA para equipe de cuidadores | Controlar status (elaborado, apresentado à família, apresentado à equipe, aprovado)",""
"RF007 - Cadastro de Usuários","Backlog","User Story","","","","","Equipe Técnica","cadastrar usuários inseridos no serviço","gerenciar os usuários atendidos","Dados pessoais completos | Gênero e faixa etária (18-29 anos: jovem; 30-59 anos: adulto) | Tipo de deficiência | Crença religiosa (católico, evangélico, testemunha de Jeová, matriz africana, outras) | Bairro de moradia | Turno de atendimento (matutino, vespertino, integral) | Cuidador familiar responsável | Data de inserção",""
"RF008 - Controle de Desligamentos","Backlog","User Story","","","","","Equipe Técnica","registrar desligamentos com motivos","controlar a saída de usuários","Motivos: Evasão, mudança para outro município, solicitação da família, alcance dos objetivos, outros",""
"RF009 - Registro de Violações de Direitos","Backlog","User Story","","","","","Equipe Técnica","categorizar e registrar violações identificadas","documentar violações para relatórios e ações","Tipos de violação: Exploração de imagem | Isolamento social | Confinamento | Atitudes discriminatórias e preconceituosas no seio familiar | Falta de cuidados adequados por parte do cuidador familiar | Alto grau de estresse do cuidador familiar | Desvalorização da potencialidade/capacidade da pessoa | Violência patrimonial | Negligência ou abandono | Abuso sexual (intrafamiliar/extrafamiliar) | Violência física ou psicológica (intra/extrafamiliar) | Outras violações",""
"RF010 - Registro de Atividades","Backlog","User Story","","","","","Equipe Técnica","registrar diferentes tipos de atividades","documentar as atividades realizadas","Tipos: Atividades com famílias | Atividades com usuários | Atividades envolvendo usuários e famílias | Atendimentos multiprofissionais | Atendimentos técnicos individualizados | Estudos de caso",""
"RF011 - Controle de Contatos e Comunicações","Backlog","User Story","","","","","Administrativo","registrar comunicações diversas","gerenciar a comunicação com famílias e instituições","Tipos: Contatos telefônicos com cuidadores familiares | Contatos telefônicos institucionais | Atendimento a público não acompanhado | Expedição/recebimento de ofícios e declarações | Encaminhamentos enviados/recebidos (por instituição)",""
"RF012 - Registro de Reuniões e Eventos","Backlog","User Story","","","","","Administrativo","registrar atividades institucionais","documentar reuniões e eventos","Tipos: Reuniões entre coordenação e equipe técnica | Formações multiprofissionais | Reuniões com direção geral | Monitoramento do órgão gestor | Visitas institucionais (realizadas/recebidas) | Eventos realizados/participados | Reuniões com parceiros",""
"RF013 - Gestão de Parcerias","Backlog","User Story","","","","","Coordenador","controlar articulação e fortalecimento de parcerias","manter parcerias institucionais","Sistema permite registrar parcerias | Sistema permite gerenciar informações de parcerias",""
"RF014 - Controle de Colaboradores","Backlog","User Story","","","","","Administrativo","registrar contratações e desligamentos de colaboradores","gerenciar os colaboradores","Registrar contratações | Registrar desligamentos",""
"RF015 - Gestão de Doações","Backlog","User Story","","","","","Administrativo","registrar doações realizadas e recebidas","controlar as doações","Registrar doações realizadas | Registrar doações recebidas",""
"RF016 - Relatórios Estatísticos","Backlog","User Story","","","","","Coordenador","gerar relatórios com dados quantitativos","produzir relatórios mensais, quadrimestrais, anuais, etc.","Tipos de relatórios: Mensal | Quadrimestral | Anual | De intervenção (CREAS) | De transparência",""
"RF017 - Dashboards Analíticos","Backlog","User Story","","","","","Coordenador","apresentar indicadores em tempo real","monitorar o centro dia","Indicadores: Usuários por tipo de deficiência | Usuários por gênero e faixa etária | Usuários por turno de atendimento | Violações de direitos por categoria | Atividades realizadas por período | Taxa de desligamento por motivo",""
"Usabilidade - Interface intuitiva","Backlog","Task","","Frontend","","","","","","Interface intuitiva e de fácil navegação",""
"Usabilidade - Compatibilidade com navegadores","Backlog","Task","","Frontend","","","","","","Compatibilidade com diferentes navegadores",""
"Usabilidade - Design responsivo","Backlog","Task","","Frontend","","","","","","Design responsivo para acesso mobile",""
"Performance - Tempo de resposta","Backlog","Task","","Backend","","","","","","Tempo de resposta máximo de 3 segundos para consultas",""
"Performance - Suporte a múltiplos usuários","Backlog","Task","","Backend","","","","","","Suporte a múltiplos usuários simultâneos",""
"Segurança - Controle de acesso por perfil","Backlog","Task","","Backend","","","","","","Controle de acesso por perfil de usuário",""
"Segurança - Criptografia de dados","Backlog","Task","","Backend","","","","","","Criptografia de dados sensíveis",""
"Segurança - Log de auditoria","Backlog","Task","","Backend","","","","","","Log de auditoria de operações",""
"Segurança - Backup automático","Backlog","Task","","DevOps","","","","","","Backup automático diário",""
"Disponibilidade - Uptime 99%","Backlog","Task","","DevOps","","","","","","Sistema disponível 24/7 com 99% de uptime",""
"Disponibilidade - Recuperação de desastres","Backlog","Task","","DevOps","","","","","","Procedimentos de recuperação de desastres",""
"Integração com CadÚnico","Backlog","User Story","","","","","Sistema","consultar dados do CadÚnico","verificar informações dos beneficiários","Sistema se integra com CadÚnico | Sistema exibe dados consultados",""
"Integração com Sistema de gestão do BPC","Backlog","User Story","","","","","Sistema","consultar dados do BPC","verificar beneficiários do BPC","Sistema se integra com sistema de gestão do BPC | Sistema exibe dados consultados",""
"Integração com Sistemas municipais de saúde e educação","Backlog","User Story","","","","","Sistema","integrar com sistemas municipais","compartilhar dados com saúde e educação","Sistema se integra com sistemas municipais de saúde | Sistema se integra com sistemas municipais de educação",""
"Importação de dados de planilhas Excel","Backlog","User Story","","","","","Administrativo","importar dados de planilhas Excel","facilitar o cadastro em massa","Sistema permite importar dados de arquivos Excel | Mapear colunas do Excel para campos do sistema",""
"Exportação de relatórios em PDF e Excel","Backlog","User Story","","","","","Coordenador","exportar relatórios em PDF e Excel","compartilhar relatórios","Exportar relatórios em PDF | Exportar relatórios em Excel",""